commune;pop
Cercle : Agadir  Atlantique;95 432
Cercle : Agadir  Banlieue;83 323
Cercle : Agdz;109 391
Cercle : Aghbala;32 090
Cercle : Agourai;37 763
Cercle : Aguelmous;86 100
Cercle : Ahfir;48 479
Cercle : Ahmar;83 473
Cercle : Ain Bni  Mathar;21 958
Cercle : Ain El Aouda;75 357
Cercle : Ain Orma;46 758
Cercle : Ain Taoujdate;79 400
Cercle : Ait Baha;41 489
Cercle : Ait Melloul;55 367
Cercle : Ait Ourir;149 268
Cercle : Akka;16 914
Cercle : Aklim;60 420
Cercle : Aknoul;46 037
Cercle : Al Gantour;76 539
Cercle : Alnif;42 639
Cercle : Alouidane;76 989
Cercle : Amerzgane;106 426
Cercle : Amizmiz;53 270
Cercle : Anezi;41 947
Cercle : Anjra;42 735
Cercle : Aousserd;11 565
Cercle : Arfoud;35 101
Cercle : Asni;59 881
Cercle : Assa;10 455
Cercle : Assilah;53 109
Cercle : Assoul;17 752
Cercle : Azemmour;106 091
Cercle : Azilal;96 718
Cercle : Azrou;65 665
Cercle : Bab Berred;77 641
Cercle : Bab Taza;101 406
Cercle : Baht;79 187
Cercle : Bejaad;39 216
Cercle : Belfaa- Massa;93 541
Cercle : Ben Ahmed;173 290
Cercle : Ben Mansour;128 780
Cercle : B‚ni Mellal;111 047
Cercle : Benslimane;97 395
Cercle : Berrechid;131 084
Cercle : Biougra;192 471
Cercle : Bir Anzarane;11 580
Cercle : Bir Gandouz;4 625
Cercle : Bni Ahmed;55 303
Cercle : Bni Boufrah;37 935
Cercle : Bni Moussa Charquia;88 555
Cercle : Bni Moussa Gharbia;104 280
Cercle : Bni Ouriaghel;85 956
Cercle : Bni Tadjite;66 488
Cercle : Bou Ahmed;102 247
Cercle : Bouizakarne;35 670
Cercle : Boulemane;57 834
Cercle : Boumalne   Dades;133 689
Cercle : Boumia;60 120
Cercle : Bour;79 490
Cercle : Bouskoura;55 403
Cercle : Bouznika;21 536
Cercle : Bzou;104 026
Cercle : Chichaoua;95 852
Cercle : Chrarda;73 383
Cercle : Daoura -el Hagounia;1 259
